  Date   	Time	V 3	V 3	V 3	V 3	I 1	I 1
19/01/2016   12:11:25   6,687   6,224   6,39   6,355   4472,3   4318,2
19/01/2016   12:12:59   6,581   6,119   6,207   6,198   4472,5   4318,4
19/01/2016   12:14:32   6,489   6,092   6,031   6,038   4472,7   4318,6
19/01/2016   12:16:06   6,483   6,092   5,994   5,965   4472,8   4318,7
19/01/2016   12:17:41   6,564   6,166   6,08   6,092   4473,0   4318,9
19/01/2016   12:19:15   6,739   6,303   6,168   6,199   4473,2   4319,0
19/01/2016   12:20:49   6,812   6,257   6,071   6,117   4473,3   4319,2
19/01/2016   12:22:29   6,559   6,116   Error     5,86   4473,5   4319,4
19/01/2016   12:24:11   Error     5,828   5,583   5,595   4473,7   4319,5
19/01/2016   12:25:45   6,195   5,781   5,507   5,536   4473,9   4319,7
19/01/2016   12:27:19   6,128   5,697   5,402   5,515   4474,0   4319,8
19/01/2016   12:28:52   6,053   5,696   5,545   5,554   4474,2   4320,0
19/01/2016   12:30:26   6,403   5,951   5,694   5,701   4474,4   4320,1
19/01/2016   12:32:00   6,354   5,908   5,652   5,6   4474,5   4320,3
19/01/2016   12:33:34   6,17   5,647   5,477   5,477   4474,7   4320,4
19/01/2016   12:35:08   6,109   5,666   5,351   5,296   4474,8   4320,6
19/01/2016   12:36:43   6,206   5,73   5,455   5,514   4475,0   4320,7
19/01/2016   12:38:24   6,322   5,874   5,548   5,585   4475,2   Error  
19/01/2016   12:39:59   6,64   6,24   5,903   5,901   4475,4   4321,1
19/01/2016   12:41:33   6,899   6,456   6,134   6,144   4475,5   4321,2
19/01/2016   12:43:07   7,299   6,866   6,507   6,611   4475,7   4321,4
19/01/2016   12:44:41   8,02   7,608   7,061   7,11   4475,9   4321,6
19/01/2016   12:46:15   8,372   7,9   7,34   7,413   4476,2   4321,8
19/01/2016   12:47:49   8,634   8,083   7,429   7,305   4476,4   4322,0
19/01/2016   12:49:23   8,052   7,567   7,053   7,122   4476,6   4322,2
19/01/2016   12:50:57   8,499   8,052   7,554   7,565   4476,8   4322,4
19/01/2016   12:52:30   8,897   8,423   7,867   8,02   4477,0   4322,7
19/01/2016   12:54:04   9,274   8,708   8,164   8,148   4477,3   4322,9
19/01/2016   12:55:38   8,886   8,372   7,794   7,745   4477,5   4323,1
19/01/2016   12:57:12   8,216   7,619   7,21   7,104   4477,7   4323,3
19/01/2016   12:58:47   7,578   7,044   6,723   6,702   4477,9   4323,5
19/01/2016   13:00:29   7,57   7,075   6,776   Error     4478,1   4323,7
19/01/2016   13:02:03   7,951   7,47   7,21   7,184   4478,4   4323,9
19/01/2016   13:03:37   7,999   7,567   7,422   7,415   4478,6   4324,1
19/01/2016   13:05:11   8,741   8,347   8,533   8,674   4478,8   4324,3
19/01/2016   13:06:45   9,392   9,189   9,316   9,515   4479,0   4324,5
19/01/2016   13:08:19   12,394   18,256   14,415   15,151   4479,4   4324,9
19/01/2016   13:09:53   11,061   10,489   10,769   10,649   4479,7   4325,2
19/01/2016   13:11:27   12,927   11,498   11,195   11,206   4480,0   4325,5
19/01/2016   13:13:01   10,749   10,401   11,108   12,683   4480,3   4325,8
19/01/2016   13:14:36   11,053   10,162   10,003   9,817   4480,6   4326,0
19/01/2016   13:16:10   9,624   9,383   9,316   9,07   4480,8   4326,3
19/01/2016   13:17:44   9,093   8,641   8,598   8,518   4481,1   4326,5
19/01/2016   13:19:18   8,526   7,995   7,932   7,93   4481,3   4326,7
19/01/2016   13:20:52   8,703   8,573   9,116   9,441   4481,5   4326,9
19/01/2016   13:22:26   9,719   8,609   8,583   8,422   4481,8   4327,2
19/01/2016   13:24:00   8,321   7,772   7,798   7,745   4482,0   4327,4
19/01/2016   13:25:34   8,421   7,787   7,76   7,242   4482,2   4327,6
19/01/2016   13:27:09   7,508   8,323   10,235   12,777   4482,4   4327,8
19/01/2016   13:28:43   10,197   11,764   15,033   14,516   4482,7   4328,1
19/01/2016   13:30:18   17,179   16,573   23,554   10,024   4483,1   4328,4
19/01/2016   13:31:51   8,002   7,796   9,179   9,212   4483,3   4328,6
19/01/2016   13:33:33   8,046   7,279   7,684   8,007   Error     4328,9
19/01/2016   13:35:07   8,4   7,825   7,879   8,339   4483,7   4329,1
19/01/2016   13:36:48   9,689   8,014   7,96   Error     4484,0   4329,3
19/01/2016   13:38:23   8,641   8,03   8,504   8,596   4484,2   4329,5
19/01/2016   13:40:12   Error     7,724   8,188   8,151   Error     4329,8
19/01/2016   13:41:46   8,695   8,349   8,708   8,955   4484,7   4330,0
19/01/2016   13:43:41   Error     Error     Error     8,284   4485,0   4330,2
19/01/2016   13:45:14   8,477   7,872   7,782   7,928   4485,2   4330,4
19/01/2016   13:46:48   9,52   9,381   10,002   10,185   4485,4   4330,7
19/01/2016   13:48:22   10,676   10,443   12,574   13,715   4485,7   4330,9
19/01/2016   13:49:56   11,608   11,126   12,471   11,874   4486,0   4331,2
19/01/2016   13:51:30   10,536   10,037   10,933   10,956   4486,3   4331,5
19/01/2016   13:53:03   8,622   8,119   8,29   8,286   4486,5   4331,7
19/01/2016   13:54:37   7,891   7,279   7,385   7,349   4486,7   4331,9
19/01/2016   13:56:11   8,235   7,881   7,784   7,932   4486,9   4332,1
19/01/2016   13:57:45   9,116   8,68   8,305   8,364   4487,1   4332,3
19/01/2016   13:59:19   8,92   8,481   7,986   8,054   4487,4   4332,6
19/01/2016   14:01:00   8,472   7,99   7,575   7,564   4487,6   Error  
19/01/2016   14:02:34   8,36   7,867   7,511   7,609   4487,8   4333,0
19/01/2016   14:04:08   8,965   8,534   8,345   8,497   4488,1   4333,2
19/01/2016   14:05:40   9,905   9,48   9,644   8,94   4488,3   4333,4
19/01/2016   14:07:14   9,588   9,01   8,27   8,328   4488,6   4333,7
19/01/2016   14:08:49   8,955   8,268   7,712   7,702   4488,8   4333,9
19/01/2016   14:10:30   8,408   7,916   Error     7,249   4489,0   4334,1
19/01/2016   14:12:04   7,99   7,504   6,993   6,903   4489,3   4334,3
19/01/2016   14:13:37   7,635   7,073   6,628   6,594   4489,4   4334,5
19/01/2016   14:15:11   7,231   6,757   6,369   6,375   4489,6   4334,7
19/01/2016   14:16:45   7,182   6,68   6,363   6,393   4489,8   4334,9
19/01/2016   14:18:18   7,534   7,112   6,655   6,664   4490,0   4335,0
19/01/2016   14:19:55   7,951   7,496   6,979   7,016   4490,2   4335,2
19/01/2016ab   14:21:29   8,388   7,919   7,399   7,427   4490,5   4335,4
19/01/2016   14:23:03   8,581   8,098   7,466   7,466   4490,7   4335,7
